hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,total_bookings,estimated_revenue,avg_adr,avg_stay_duration
City Hotel,2017,April,Groups,Transient-Party,57,18404.8,108.8,2.96
City Hotel,2017,March,Groups,Transient,3,520.0,73.33,2.33
City Hotel,2017,March,Corporate,Transient-Party,15,5480.0,92.93,3.93
City Hotel,2017,May,Online TA,Transient,1207,519833.57,143.51,3.02
City Hotel,2017,April,Online TA,Group,5,965.0,121.0,1.6
City Hotel,2017,June,Online TA,Group,5,565.0,110.6,1.2
City Hotel,2017,August,Online TA,Transient,1033,506604.02,151.01,3.31
City Hotel,2017,August,Offline TA/TO,Transient-Party,74,30351.86,109.04,3.64
City Hotel,2017,April,Direct,Transient-Party,15,5916.31,130.04,3.13
City Hotel,2017,April,Online TA,Transient-Party,30,12570.92,142.96,3.0
City Hotel,2017,April,Offline TA/TO,Contract,2,534.0,89.0,3.0
City Hotel,2017,April,Corporate,Transient-Party,13,2217.0,105.54,1.62
City Hotel,2017,April,Direct,Group,1,126.0,126.0,1.0
City Hotel,2017,May,Direct,Group,3,549.0,120.67,1.67
City Hotel,2017,May,Offline TA/TO,Transient,155,48367.03,102.25,3.13
City Hotel,2017,May,Groups,Transient-Party,115,31847.9,111.44,2.48
City Hotel,2017,May,Online TA,Group,4,1121.8,115.45,2.25
City Hotel,2017,May,Online TA,Transient-Party,48,19712.81,146.97,2.81
City Hotel,2017,May,Aviation,Group,2,220.0,110.0,1.0
City Hotel,2017,May,Offline TA/TO,Contract,3,1120.0,80.0,4.67
City Hotel,2017,May,Groups,Transient,2,400.5,114.75,2.0
City Hotel,2017,May,Corporate,Transient-Party,1,144.0,144.0,1.0
City Hotel,2017,June,Direct,Transient-Party,17,5123.07,143.08,2.29
City Hotel,2017,June,Groups,Transient-Party,56,18181.69,100.28,3.21
City Hotel,2017,June,Offline TA/TO,Contract,2,400.0,80.0,2.5
City Hotel,2017,June,Offline TA/TO,Transient-Party,28,6220.26,97.79,2.32
City Hotel,2017,June,Groups,Transient,1,354.39,118.13,3.0
City Hotel,2017,June,Corporate,Transient-Party,25,3802.0,112.48,1.4
City Hotel,2017,July,Groups,Transient-Party,24,6654.08,100.21,2.79
City Hotel,2017,July,Offline TA/TO,Transient,153,56033.84,89.44,4.03
City Hotel,2017,July,Offline TA/TO,Transient-Party,45,12217.01,103.78,2.64
City Hotel,2017,July,Online TA,Transient-Party,97,43478.67,127.07,3.6
City Hotel,2017,July,Direct,Transient-Party,35,11942.37,111.08,2.89
City Hotel,2017,July,Corporate,Transient-Party,2,199.0,99.5,1.0
City Hotel,2017,July,Offline TA/TO,Group,1,0.0,0.0,3.0
City Hotel,2017,July,Groups,Transient,1,240.3,80.1,3.0
City Hotel,2017,August,Direct,Group,1,359.0,179.5,2.0
City Hotel,2017,August,Groups,Transient-Party,33,8570.52,120.91,2.36
City Hotel,2017,August,Online TA,Transient-Party,61,28488.95,143.51,3.41
City Hotel,2017,August,Offline TA/TO,Transient,172,72323.28,95.06,4.49
City Hotel,2017,July,Offline TA/TO,Contract,2,1540.0,110.0,7.0
City Hotel,2017,August,Direct,Transient-Party,23,11650.44,125.9,4.0
City Hotel,2017,August,Offline TA/TO,Group,3,1410.0,161.33,4.33
