hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,deposit_type,lead_time_category,canceled_bookings,lost_revenue,avg_adr,avg_stay_duration
Resort Hotel,2017,May,Offline TA/TO,Contract,Refundable,181-365 Days,1,1004.64,71.76,14.0
Resort Hotel,2017,May,Online TA,Transient,Refundable,31-90 Days,1,1424.97,158.33,9.0
Resort Hotel,2017,June,Online TA,Transient,No Deposit,0-30 Days,50,19942.41,144.79,2.64
Resort Hotel,2017,June,Online TA,Transient,No Deposit,31-90 Days,55,40594.2,180.84,4.05
Resort Hotel,2017,June,Online TA,Transient,No Deposit,181-365 Days,151,120063.5,108.67,7.17
Resort Hotel,2017,June,Online TA,Transient,No Deposit,91-180 Days,120,87005.31,145.96,4.86
Resort Hotel,2017,June,Direct,Transient,No Deposit,91-180 Days,9,8013.7,152.9,5.78
Resort Hotel,2017,June,Offline TA/TO,Contract,No Deposit,91-180 Days,2,1080.9,62.55,8.5
Resort Hotel,2017,June,Offline TA/TO,Contract,No Deposit,181-365 Days,25,23365.34,83.17,11.96
Resort Hotel,2017,June,Corporate,Transient,No Deposit,31-90 Days,17,8790.3,83.19,6.24
Resort Hotel,2017,June,Online TA,Transient-Party,No Deposit,181-365 Days,6,5585.83,105.31,8.83
Resort Hotel,2017,June,Groups,Transient,Non Refund,181-365 Days,8,3144.0,75.0,5.25
Resort Hotel,2017,June,Offline TA/TO,Transient,No Deposit,91-180 Days,21,5390.7,63.38,4.05
Resort Hotel,2017,June,Corporate,Transient,No Deposit,0-30 Days,7,1895.01,86.81,3.14
Resort Hotel,2017,June,Direct,Transient,No Deposit,0-30 Days,13,5588.7,126.21,2.77
Resort Hotel,2017,June,Offline TA/TO,Transient,No Deposit,181-365 Days,18,10348.43,71.86,8.28
Resort Hotel,2017,June,Offline TA/TO,Transient,No Deposit,31-90 Days,6,5527.29,126.46,6.83
Resort Hotel,2017,June,Direct,Transient,No Deposit,181-365 Days,12,9411.68,125.47,6.17
Resort Hotel,2017,June,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
Resort Hotel,2017,June,Offline TA/TO,Group,No Deposit,0-30 Days,1,66.0,66.0,1.0
Resort Hotel,2017,June,Online TA,Transient-Party,No Deposit,91-180 Days,1,758.4,126.4,6.0
Resort Hotel,2017,June,Offline TA/TO,Transient,No Deposit,0-30 Days,2,243.95,121.97,1.0
Resort Hotel,2017,June,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,1,95.0,95.0,1.0
Resort Hotel,2017,June,Online TA,Transient,No Deposit,365+ Days,1,200.0,200.0,1.0
Resort Hotel,2017,June,Direct,Transient,No Deposit,31-90 Days,1,2177.0,311.0,7.0
Resort Hotel,2017,June,Offline TA/TO,Contract,No Deposit,31-90 Days,1,342.0,68.4,5.0
Resort Hotel,2017,June,Direct,Transient-Party,No Deposit,91-180 Days,2,2569.0,183.5,7.0
Resort Hotel,2017,June,Offline TA/TO,Contract,Refundable,181-365 Days,1,423.5,84.7,5.0
Resort Hotel,2017,June,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,2,363.75,116.25,1.5
Resort Hotel,2017,July,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,2,775.2,129.2,3.0
Resort Hotel,2017,July,Online TA,Transient,No Deposit,181-365 Days,169,231215.26,181.07,7.47
Resort Hotel,2017,July,Online TA,Transient,No Deposit,31-90 Days,70,77157.52,225.81,4.79
Resort Hotel,2017,July,Online TA,Transient,No Deposit,91-180 Days,161,180945.6,196.44,5.76
Resort Hotel,2017,July,Direct,Transient,No Deposit,91-180 Days,26,30136.03,195.93,5.96
Resort Hotel,2017,July,Offline TA/TO,Transient,No Deposit,181-365 Days,4,4630.42,132.95,8.25
Resort Hotel,2017,July,Online TA,Transient-Party,No Deposit,181-365 Days,2,1499.4,107.1,7.0
Resort Hotel,2017,July,Corporate,Transient,No Deposit,31-90 Days,21,17566.0,115.24,7.43
Resort Hotel,2017,July,Offline TA/TO,Contract,No Deposit,181-365 Days,7,7221.15,120.19,8.71
Resort Hotel,2017,July,Offline TA/TO,Transient,No Deposit,91-180 Days,12,10955.53,146.46,5.75
Resort Hotel,2017,July,Direct,Transient-Party,No Deposit,91-180 Days,1,962.99,137.57,7.0
Resort Hotel,2017,July,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
Resort Hotel,2017,July,Direct,Transient,No Deposit,181-365 Days,16,20488.88,193.68,6.69
Resort Hotel,2017,July,Corporate,Transient,No Deposit,0-30 Days,8,2415.2,134.19,2.13
Resort Hotel,2017,July,Online TA,Transient,No Deposit,0-30 Days,53,45320.22,215.04,3.74
Resort Hotel,2017,July,Direct,Transient-Party,No Deposit,181-365 Days,1,616.9,123.38,5.0
Resort Hotel,2017,July,Direct,Transient,No Deposit,0-30 Days,21,11282.94,198.34,2.48
Resort Hotel,2017,July,Direct,Transient,No Deposit,31-90 Days,16,18455.0,233.84,4.81
Resort Hotel,2017,July,Direct,Transient-Party,No Deposit,0-30 Days,3,653.95,121.32,1.67
Resort Hotel,2017,July,Offline TA/TO,Contract,No Deposit,91-180 Days,1,910.35,130.05,7.0
Resort Hotel,2017,July,Online TA,Transient,Refundable,31-90 Days,1,540.0,180.0,3.0
Resort Hotel,2017,July,Complementary,Transient,No Deposit,31-90 Days,1,0.0,0.0,2.0
Resort Hotel,2017,July,Offline TA/TO,Contract,No Deposit,365+ Days,1,733.95,104.85,7.0
Resort Hotel,2017,July,Offline TA/TO,Contract,No Deposit,31-90 Days,2,1165.0,116.5,5.0
Resort Hotel,2017,July,Online TA,Transient,No Deposit,365+ Days,2,900.0,180.0,2.5
Resort Hotel,2017,July,Offline TA/TO,Transient,No Deposit,0-30 Days,2,1579.35,165.53,4.0
Resort Hotel,2017,July,Online TA,Transient-Party,No Deposit,91-180 Days,2,1284.99,214.17,3.0
Resort Hotel,2017,July,Online TA,Transient-Party,No Deposit,0-30 Days,2,2500.0,250.0,5.0
Resort Hotel,2017,August,Online TA,Transient,No Deposit,91-180 Days,139,182178.22,243.82,5.39
Resort Hotel,2017,August,Online TA,Transient,No Deposit,31-90 Days,113,132272.46,241.75,4.83
Resort Hotel,2017,August,Online TA,Transient,No Deposit,181-365 Days,203,244559.98,194.63,6.11
Resort Hotel,2017,August,Online TA,Transient,No Deposit,0-30 Days,59,48107.38,234.21,3.37
Resort Hotel,2017,August,Offline TA/TO,Transient,No Deposit,91-180 Days,12,14286.47,170.81,6.5
Resort Hotel,2017,August,Offline TA/TO,Transient,No Deposit,181-365 Days,12,14404.6,140.64,8.83
Resort Hotel,2017,August,Online TA,Transient,No Deposit,365+ Days,1,6300.0,450.0,14.0
Resort Hotel,2017,August,Direct,Transient,No Deposit,181-365 Days,17,24408.07,191.67,7.41
Resort Hotel,2017,August,Offline TA/TO,Transient,No Deposit,31-90 Days,3,5198.4,210.78,8.0
Resort Hotel,2017,August,Direct,Transient,No Deposit,91-180 Days,12,16212.9,253.56,5.0
Resort Hotel,2017,August,Online TA,Transient,Refundable,0-30 Days,1,458.0,229.0,2.0
Resort Hotel,2017,August,Direct,Transient,No Deposit,0-30 Days,17,10916.52,220.91,2.65
Resort Hotel,2017,August,Direct,Transient,No Deposit,31-90 Days,11,12830.78,273.05,3.91
Resort Hotel,2017,August,Online TA,Transient,Non Refund,0-30 Days,1,330.0,330.0,1.0
Resort Hotel,2017,August,Online TA,Transient-Party,No Deposit,181-365 Days,2,1691.25,153.75,5.5
Resort Hotel,2017,August,Offline TA/TO,Contract,No Deposit,91-180 Days,3,3054.15,161.52,6.67
Resort Hotel,2017,August,Offline TA/TO,Contract,No Deposit,181-365 Days,6,4979.1,122.4,7.0
Resort Hotel,2017,August,Offline TA/TO,Contract,No Deposit,0-30 Days,1,1495.0,149.5,10.0
Resort Hotel,2017,August,Offline TA/TO,Group,No Deposit,0-30 Days,3,3557.0,149.67,8.0
Resort Hotel,2017,August,Corporate,Transient,No Deposit,0-30 Days,1,1113.0,159.0,7.0
Resort Hotel,2017,August,Offline TA/TO,Contract,No Deposit,365+ Days,1,1048.5,104.85,10.0
Resort Hotel,2017,August,Online TA,Transient-Party,No Deposit,31-90 Days,1,230.0,230.0,1.0
Resort Hotel,2017,August,Online TA,Group,No Deposit,31-90 Days,1,754.4,188.6,4.0
Resort Hotel,2017,August,Offline TA/TO,Transient,No Deposit,0-30 Days,3,3577.91,170.38,7.0
Resort Hotel,2017,August,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,4,6129.2,218.9,7.0
Resort Hotel,2017,August,Online TA,Transient-Party,No Deposit,91-180 Days,3,3423.99,275.68,4.33
Resort Hotel,2017,August,Offline TA/TO,Transient,Non Refund,31-90 Days,1,594.0,198.0,3.0
Resort Hotel,2017,August,Offline TA/TO,Contract,No Deposit,31-90 Days,1,540.0,135.0,4.0
Resort Hotel,2017,August,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,1,128.7,128.7,1.0
Resort Hotel,2017,August,Online TA,Transient,Refundable,91-180 Days,1,1150.0,230.0,5.0
Resort Hotel,2017,August,Offline TA/TO,Group,No Deposit,31-90 Days,2,846.0,141.0,3.0
Resort Hotel,2017,August,Direct,Transient-Party,No Deposit,0-30 Days,2,379.5,189.75,1.0
Resort Hotel,2015,July,Offline TA/TO,Contract,No Deposit,91-180 Days,7,6887.68,100.04,10.43
Resort Hotel,2015,December,Online TA,Transient,No Deposit,365+ Days,1,36.0,36.0,1.0
Resort Hotel,2015,September,Groups,Transient,Non Refund,181-365 Days,8,1841.05,58.71,4.13
Resort Hotel,2015,September,Online TA,Transient,No Deposit,181-365 Days,11,7492.79,100.12,7.64
Resort Hotel,2015,August,Direct,Transient,No Deposit,181-365 Days,1,930.0,186.0,5.0
Resort Hotel,2015,August,Online TA,Transient,No Deposit,181-365 Days,21,18478.26,149.0,5.9
Resort Hotel,2015,October,Offline TA/TO,Transient,Non Refund,181-365 Days,2,200.0,50.0,2.0
Resort Hotel,2015,November,Online TA,Transient-Party,No Deposit,181-365 Days,2,396.0,49.5,4.0
Resort Hotel,2015,August,Online TA,Transient-Party,No Deposit,181-365 Days,4,5690.2,158.3,9.0
Resort Hotel,2015,July,Groups,Transient,Non Refund,91-180 Days,2,486.0,121.5,2.0
Resort Hotel,2015,September,Offline TA/TO,Transient,Non Refund,181-365 Days,6,1783.44,49.32,5.67
Resort Hotel,2015,September,Online TA,Transient-Party,No Deposit,181-365 Days,6,1503.9,94.65,2.67
Resort Hotel,2015,October,Groups,Transient-Party,No Deposit,181-365 Days,6,2483.94,62.32,6.5
Resort Hotel,2015,July,Direct,Transient-Party,No Deposit,91-180 Days,1,498.5,99.7,5.0
Resort Hotel,2015,October,Groups,Transient,Non Refund,181-365 Days,7,3814.7,55.3,8.86
Resort Hotel,2015,July,Online TA,Transient-Party,No Deposit,181-365 Days,1,554.4,79.2,7.0
Resort Hotel,2015,October,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,2,193.0,48.25,2.0
Resort Hotel,2015,October,Direct,Transient,No Deposit,181-365 Days,1,333.2,47.6,7.0
Resort Hotel,2015,November,Groups,Transient-Party,No Deposit,181-365 Days,3,585.0,65.0,3.0
Resort Hotel,2015,November,Direct,Transient,No Deposit,0-30 Days,2,116.0,58.0,1.0
Resort Hotel,2015,December,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,4,504.0,51.0,2.25
Resort Hotel,2016,August,Groups,Transient,Non Refund,181-365 Days,1,640.0,128.0,5.0
Resort Hotel,2015,December,Groups,Transient-Party,No Deposit,0-30 Days,2,408.0,68.0,3.0
Resort Hotel,2015,December,Offline TA/TO,Group,No Deposit,0-30 Days,1,90.0,45.0,2.0
Resort Hotel,2015,December,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,2,285.0,71.25,2.0
Resort Hotel,2015,December,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,2.0
Resort Hotel,2015,December,Corporate,Transient,No Deposit,0-30 Days,1,35.0,35.0,1.0
Resort Hotel,2016,August,Direct,Group,No Deposit,31-90 Days,1,3039.96,217.14,14.0
Resort Hotel,2017,August,Corporate,Transient,No Deposit,31-90 Days,1,135.0,135.0,1.0
Resort Hotel,2017,February,Corporate,Transient,No Deposit,31-90 Days,1,35.0,35.0,1.0
City Hotel,2015,July,Online TA,Transient,No Deposit,31-90 Days,44,16551.68,71.55,5.5
City Hotel,2015,July,Online TA,Transient,No Deposit,91-180 Days,71,23597.55,74.74,4.58
City Hotel,2015,July,Groups,Transient-Party,No Deposit,31-90 Days,4,596.0,74.5,2.0
City Hotel,2015,July,Offline TA/TO,Transient,No Deposit,91-180 Days,1,127.5,63.75,2.0
City Hotel,2015,July,Online TA,Transient-Party,No Deposit,31-90 Days,7,2520.0,79.07,4.57
City Hotel,2015,July,Complementary,Transient,No Deposit,31-90 Days,1,111.99,37.33,3.0
City Hotel,2015,July,Direct,Transient-Party,No Deposit,31-90 Days,2,630.0,45.0,7.0
City Hotel,2015,July,Online TA,Transient,No Deposit,0-30 Days,1,200.0,100.0,2.0
City Hotel,2015,July,Groups,Transient,No Deposit,31-90 Days,1,63.75,63.75,1.0
City Hotel,2015,July,Direct,Transient,No Deposit,31-90 Days,5,555.81,80.56,1.4
City Hotel,2015,July,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,5,1325.25,88.35,3.0
City Hotel,2015,July,Online TA,Transient-Party,No Deposit,91-180 Days,12,2363.0,72.96,2.67
City Hotel,2015,July,Direct,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
City Hotel,2015,July,Groups,Transient-Party,No Deposit,0-30 Days,6,982.4,58.27,3.0
City Hotel,2015,July,Groups,Transient-Party,Non Refund,0-30 Days,2,248.0,62.0,2.0
City Hotel,2015,July,Direct,Transient,No Deposit,91-180 Days,1,205.5,68.5,3.0
City Hotel,2015,July,Groups,Transient-Party,No Deposit,91-180 Days,2,598.0,85.5,3.5
City Hotel,2015,August,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,8,2093.25,87.22,3.0
City Hotel,2015,August,Online TA,Transient-Party,No Deposit,91-180 Days,6,1557.0,78.0,3.33
City Hotel,2015,August,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,6,1543.0,97.42,2.67
City Hotel,2015,August,Undefined,Transient-Party,No Deposit,0-30 Days,2,48.0,15.0,1.5
City Hotel,2015,August,Groups,Transient,Non Refund,31-90 Days,2,48.0,12.0,2.0
City Hotel,2015,August,Groups,Transient-Party,No Deposit,0-30 Days,6,1048.6,62.03,2.83
City Hotel,2015,August,Online TA,Transient,No Deposit,31-90 Days,7,4078.6,72.76,7.71
City Hotel,2015,August,Direct,Transient,No Deposit,0-30 Days,14,3103.0,85.61,2.71
City Hotel,2015,August,Corporate,Group,No Deposit,0-30 Days,1,130.0,65.0,2.0
City Hotel,2015,August,Groups,Transient-Party,No Deposit,31-90 Days,11,1858.0,63.82,2.64
City Hotel,2015,August,Corporate,Transient-Party,No Deposit,0-30 Days,2,186.0,33.0,2.0
City Hotel,2015,August,Direct,Transient-Party,No Deposit,0-30 Days,1,24.0,12.0,2.0
City Hotel,2015,August,Online TA,Transient-Party,No Deposit,31-90 Days,1,270.0,67.5,4.0
City Hotel,2015,August,Online TA,Transient,No Deposit,0-30 Days,23,7579.06,103.19,3.35
City Hotel,2015,August,Online TA,Transient,No Deposit,91-180 Days,24,6348.92,75.57,3.5
City Hotel,2015,August,Offline TA/TO,Transient,No Deposit,91-180 Days,3,637.5,63.75,3.33
City Hotel,2015,August,Offline TA/TO,Transient,No Deposit,0-30 Days,2,590.0,92.5,3.0
City Hotel,2015,August,Online TA,Contract,No Deposit,0-30 Days,32,12064.86,101.65,3.69
City Hotel,2015,August,Corporate,Transient,No Deposit,0-30 Days,12,4401.6,92.62,3.67
City Hotel,2015,August,Groups,Transient,No Deposit,0-30 Days,1,62.8,62.8,1.0
City Hotel,2015,August,Online TA,Transient-Party,No Deposit,0-30 Days,2,821.49,85.91,5.0
City Hotel,2015,August,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,2,406.0,101.5,2.0
City Hotel,2015,August,Corporate,Transient,Non Refund,0-30 Days,2,284.0,71.0,2.0
City Hotel,2015,August,Direct,Contract,No Deposit,0-30 Days,1,150.0,75.0,2.0
City Hotel,2015,August,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
City Hotel,2015,August,Groups,Transient,Non Refund,91-180 Days,6,756.0,56.0,2.0
City Hotel,2015,August,Groups,Transient-Party,No Deposit,91-180 Days,2,510.0,85.0,3.0
City Hotel,2015,September,Online TA,Contract,No Deposit,0-30 Days,41,16436.38,133.66,3.07
City Hotel,2015,September,Online TA,Contract,No Deposit,31-90 Days,10,2870.5,103.25,2.9
City Hotel,2015,September,Online TA,Transient,No Deposit,0-30 Days,34,13908.73,133.49,3.03
City Hotel,2015,September,Online TA,Transient,No Deposit,31-90 Days,11,3363.28,92.68,3.09
City Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,15,2347.7,79.25,2.0
City Hotel,2015,September,Online TA,Transient,No Deposit,91-180 Days,5,1571.01,91.98,3.4
City Hotel,2015,September,Groups,Transient,Non Refund,31-90 Days,15,5174.0,138.27,2.47
City Hotel,2015,September,Groups,Transient-Party,No Deposit,31-90 Days,14,2572.0,78.93,2.43
City Hotel,2015,September,Groups,Transient-Party,No Deposit,0-30 Days,10,3226.0,77.3,3.3
City Hotel,2015,September,Direct,Transient,No Deposit,0-30 Days,13,2739.79,137.19,1.46
City Hotel,2015,September,Offline TA/TO,Transient,No Deposit,0-30 Days,11,3510.82,98.32,3.36
City Hotel,2015,September,Corporate,Transient-Party,No Deposit,31-90 Days,6,890.0,98.33,1.5
City Hotel,2015,September,Groups,Transient-Party,No Deposit,91-180 Days,3,240.0,40.0,2.0
City Hotel,2015,September,Direct,Transient,No Deposit,31-90 Days,1,300.0,100.0,3.0
City Hotel,2015,September,Online TA,Transient-Party,No Deposit,0-30 Days,2,1593.06,113.79,7.0
City Hotel,2015,September,Groups,Transient,No Deposit,0-30 Days,1,196.0,98.0,2.0
City Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,10,1999.0,97.95,2.1
City Hotel,2015,September,Corporate,Transient,No Deposit,0-30 Days,7,1020.0,63.57,2.29
City Hotel,2015,September,Corporate,Transient,No Deposit,31-90 Days,1,65.0,65.0,1.0
City Hotel,2015,September,Offline TA/TO,Transient,No Deposit,31-90 Days,2,483.4,61.26,4.0
City Hotel,2015,September,Offline TA/TO,Transient,No Deposit,91-180 Days,4,2111.56,114.52,4.5
City Hotel,2015,September,Offline TA/TO,Transient-Party,Non Refund,31-90 Days,2,363.0,90.75,2.0
City Hotel,2015,September,Online TA,Transient-Party,No Deposit,91-180 Days,2,576.3,96.05,3.0
City Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,2,208.2,80.1,1.5
City Hotel,2015,September,Offline TA/TO,Contract,No Deposit,0-30 Days,2,227.4,113.7,1.0
City Hotel,2015,September,Offline TA/TO,Group,No Deposit,0-30 Days,1,480.0,160.0,3.0
City Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,11,2477.25,71.6,3.18
City Hotel,2015,September,Offline TA/TO,Contract,No Deposit,31-90 Days,1,836.1,167.22,5.0
City Hotel,2015,September,Groups,Transient,Non Refund,91-180 Days,2,340.0,170.0,1.0
City Hotel,2015,September,Offline TA/TO,Transient,Non Refund,0-30 Days,4,859.4,107.42,2.0
City Hotel,2015,October,Direct,Transient,No Deposit,31-90 Days,7,1296.29,101.11,1.86
City Hotel,2015,October,Online TA,Transient,No Deposit,181-365 Days,5,2147.24,90.27,4.6
City Hotel,2015,October,Online TA,Group,No Deposit,31-90 Days,1,111.6,111.6,1.0
City Hotel,2015,October,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,8,1559.0,97.44,2.0
City Hotel,2015,October,Groups,Transient-Party,No Deposit,181-365 Days,6,1012.4,52.8,3.17
City Hotel,2015,October,Groups,Transient-Party,No Deposit,31-90 Days,3,502.0,69.33,2.33
City Hotel,2015,October,Groups,Transient,Non Refund,31-90 Days,4,784.0,85.75,2.75
City Hotel,2015,October,Online TA,Contract,No Deposit,31-90 Days,43,16235.32,96.87,3.88
City Hotel,2015,October,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,7,2759.42,78.14,3.71
City Hotel,2015,October,Online TA,Transient,No Deposit,0-30 Days,19,7729.82,116.27,3.74
City Hotel,2015,October,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,10,1182.0,75.2,2.1
City Hotel,2015,October,Groups,Transient,No Deposit,31-90 Days,1,295.2,147.6,2.0
City Hotel,2015,October,Groups,Transient,Non Refund,91-180 Days,1,560.0,140.0,4.0
City Hotel,2015,October,Online TA,Transient,No Deposit,31-90 Days,12,3511.86,96.47,3.0
City Hotel,2015,October,Groups,Transient-Party,No Deposit,91-180 Days,3,368.0,61.33,2.0
City Hotel,2015,October,Online TA,Transient,No Deposit,91-180 Days,1,357.0,89.25,4.0
City Hotel,2015,October,Offline TA/TO,Transient,No Deposit,0-30 Days,9,1559.9,81.34,2.33
City Hotel,2015,October,Offline TA/TO,Transient,No Deposit,31-90 Days,8,1889.96,75.97,3.38
City Hotel,2015,October,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,10,1892.0,64.17,3.2
City Hotel,2015,October,Groups,Contract,No Deposit,91-180 Days,1,255.0,85.0,3.0
City Hotel,2015,October,Online TA,Transient-Party,No Deposit,31-90 Days,2,769.32,78.98,5.0
City Hotel,2015,October,Offline TA/TO,Transient,Non Refund,91-180 Days,5,908.0,84.6,2.2
City Hotel,2015,October,Offline TA/TO,Group,No Deposit,31-90 Days,2,235.2,79.8,1.5
City Hotel,2015,October,Offline TA/TO,Transient,Non Refund,181-365 Days,1,195.0,65.0,3.0
City Hotel,2015,October,Offline TA/TO,Transient-Party,Non Refund,91-180 Days,2,363.0,90.75,2.0
City Hotel,2015,October,Offline TA/TO,Contract,No Deposit,31-90 Days,2,529.2,75.6,3.5
City Hotel,2015,November,Groups,Transient,Non Refund,31-90 Days,2,444.0,111.0,2.0
City Hotel,2015,November,Online TA,Contract,No Deposit,31-90 Days,18,4937.3,91.71,2.94
City Hotel,2015,November,Groups,Transient-Party,No Deposit,91-180 Days,11,2694.0,73.0,3.36
City Hotel,2015,November,Groups,Transient-Party,No Deposit,181-365 Days,1,120.0,60.0,2.0
City Hotel,2015,November,Online TA,Transient,No Deposit,91-180 Days,2,361.25,72.25,2.5
City Hotel,2015,November,Offline TA/TO,Transient,Non Refund,31-90 Days,2,290.0,72.5,2.0
City Hotel,2015,November,Direct,Transient,No Deposit,181-365 Days,1,361.25,72.25,5.0
City Hotel,2015,November,Online TA,Transient,No Deposit,31-90 Days,5,1934.05,85.71,4.6
City Hotel,2015,November,Online TA,Transient-Party,No Deposit,31-90 Days,1,191.25,63.75,3.0
City Hotel,2015,November,Groups,Transient,No Deposit,0-30 Days,2,560.0,70.0,4.0
City Hotel,2015,November,Direct,Transient,No Deposit,31-90 Days,5,1045.98,92.53,2.2
City Hotel,2015,November,Online TA,Contract,No Deposit,91-180 Days,4,650.25,72.25,2.25
City Hotel,2015,November,Groups,Transient-Party,No Deposit,31-90 Days,6,1352.0,59.0,3.83
City Hotel,2015,November,Online TA,Transient,No Deposit,181-365 Days,1,216.75,72.25,3.0
City Hotel,2015,December,Online TA,Transient,No Deposit,181-365 Days,3,960.23,86.04,3.67
City Hotel,2015,December,Online TA,Contract,No Deposit,91-180 Days,12,4152.1,75.08,4.83
City Hotel,2015,December,Online TA,Transient,No Deposit,91-180 Days,19,5213.09,88.75,3.16
City Hotel,2015,December,Offline TA/TO,Transient,Non Refund,91-180 Days,5,1365.0,68.4,4.0
City Hotel,2015,December,Groups,Transient-Party,No Deposit,91-180 Days,1,102.8,51.4,2.0
City Hotel,2015,December,Groups,Transient,Non Refund,181-365 Days,3,856.5,95.17,3.0
City Hotel,2015,December,Groups,Transient,Non Refund,91-180 Days,3,600.0,74.17,2.67
City Hotel,2015,December,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,5,1352.5,82.6,3.2
City Hotel,2015,December,Online TA,Transient-Party,No Deposit,0-30 Days,5,945.5,94.0,2.0
City Hotel,2015,December,Online TA,Transient,No Deposit,0-30 Days,31,10137.88,103.93,3.1
City Hotel,2015,December,Direct,Transient,No Deposit,0-30 Days,21,7340.27,88.33,3.86
City Hotel,2016,January,Direct,Transient,No Deposit,91-180 Days,1,74.25,74.25,1.0
City Hotel,2016,January,Online TA,Transient,No Deposit,0-30 Days,110,43362.11,79.33,5.02
City Hotel,2016,January,Offline TA/TO,Transient,Non Refund,91-180 Days,2,498.0,83.0,3.0
City Hotel,2016,January,Direct,Transient,No Deposit,0-30 Days,19,13169.8,82.22,9.0
City Hotel,2016,January,Offline TA/TO,Transient,No Deposit,31-90 Days,4,892.0,68.5,3.25
City Hotel,2016,January,Online TA,Transient,No Deposit,31-90 Days,17,3423.17,75.57,2.65
City Hotel,2016,January,Online TA,Transient-Party,No Deposit,31-90 Days,3,780.75,86.75,3.0
City Hotel,2016,January,Online TA,Transient-Party,No Deposit,0-30 Days,10,3353.06,77.8,4.3
City Hotel,2016,January,Complementary,Transient,No Deposit,0-30 Days,2,0.0,0.0,1.0
City Hotel,2016,January,Online TA,Transient,No Deposit,91-180 Days,4,966.4,75.8,3.0
City Hotel,2016,January,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,7,1760.0,80.0,3.14
City Hotel,2016,January,Corporate,Transient,No Deposit,0-30 Days,4,366.0,71.75,1.25
City Hotel,2016,January,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,5,949.0,69.0,2.6
City Hotel,2016,January,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,6,875.01,65.28,2.17
City Hotel,2016,January,Corporate,Transient-Party,No Deposit,31-90 Days,1,124.0,62.0,2.0
City Hotel,2016,January,Offline TA/TO,Transient,No Deposit,91-180 Days,1,350.0,70.0,5.0
City Hotel,2016,January,Corporate,Transient-Party,No Deposit,0-30 Days,1,66.0,66.0,1.0
City Hotel,2016,January,Direct,Transient,No Deposit,31-90 Days,2,1306.0,91.0,7.0
City Hotel,2016,January,Offline TA/TO,Transient,No Deposit,0-30 Days,3,948.0,70.07,5.33
City Hotel,2016,February,Online TA,Transient-Party,No Deposit,0-30 Days,11,4302.56,96.51,3.82
City Hotel,2016,February,Online TA,Transient,No Deposit,0-30 Days,166,74293.85,90.58,4.83
City Hotel,2016,February,Online TA,Transient,No Deposit,31-90 Days,94,25627.0,75.63,3.64
City Hotel,2016,February,Direct,Transient,No Deposit,0-30 Days,17,4293.0,84.36,2.88
City Hotel,2016,February,Direct,Transient,No Deposit,31-90 Days,7,1675.65,74.29,3.14
City Hotel,2016,February,Corporate,Transient-Party,No Deposit,31-90 Days,2,282.0,70.5,2.0
City Hotel,2016,February,Offline TA/TO,Contract,No Deposit,31-90 Days,1,114.0,57.0,2.0
City Hotel,2016,February,Groups,Transient-Party,No Deposit,31-90 Days,1,200.0,50.0,4.0
City Hotel,2016,February,Online TA,Transient-Party,No Deposit,31-90 Days,3,1011.6,71.87,4.67
City Hotel,2016,February,Complementary,Transient,No Deposit,0-30 Days,3,4.0,0.67,1.67
City Hotel,2016,February,Online TA,Transient,No Deposit,91-180 Days,6,1464.05,68.7,3.67
City Hotel,2016,February,Groups,Transient,No Deposit,0-30 Days,1,240.0,60.0,4.0
City Hotel,2016,February,Online TA,Contract,No Deposit,31-90 Days,1,87.0,87.0,1.0
City Hotel,2016,February,Offline TA/TO,Transient,No Deposit,0-30 Days,8,1491.62,53.79,3.13
